Number,Player,Tries,Carries Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Offload,Turnovers Conceded,Try Assist,Points,Tackles,Missed Tackles,Turnover Won,Kicks From Hand,Conversion Goals,Penalty Goals,Drop Goals Converted,Lineout Throw Won Clean,Lineout Won Steal,Penalties Conceded,Red Cards,Yellow Cards,Team,Venue,Match_ID
5,Matt Philip,0,10,8,0,0,5,1,0,0,0,8,1,0,0,0,0,0,6,0,2,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
6,Angus Cottrell,0,6,4,2,0,2,1,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
7,Robert Leota,0,6,4,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
8,Isi Naisarani,0,33,12,4,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
9,Frank Lomani,0,6,5,0,0,79,0,2,0,0,4,0,1,2,0,0,0,0,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
10,Matt To'omua,0,3,2,0,0,20,0,2,0,5,4,1,0,6,1,1,0,0,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
11,Andrew Kellaway,1,38,8,5,1,1,0,1,0,5,4,2,0,2,0,0,0,0,0,1,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
12,Bill Meakes,0,20,10,2,0,4,1,1,1,0,9,1,0,0,0,0,0,0,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
13,Reece Hodge,0,7,5,0,0,3,0,0,0,2,14,4,0,0,1,0,0,0,0,1,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
14,Marika Koroibete,0,44,6,4,2,4,2,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
15,Dane Haylett-Petty,1,47,15,7,2,3,1,1,0,5,4,0,0,3,0,0,0,0,0,1,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
16,Steven Misa,0,4,5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
17,Cameron Orr,0,6,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
18,Ruan Smith,0,9,5,0,0,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
19,Luke Jones,0,4,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
20,Michael Wells,0,7,2,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
21,Richard Hardwick,0,13,7,1,0,5,4,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
22,Theo Strang,0,3,1,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
23,Andrew Deegan,1,4,2,0,1,5,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,REB,Away,sunwolves-rebels-level-five-stadium-01022020
1,George Bower,0,4,4,0,0,1,0,1,0,0,6,1,0,0,0,0,0,0,0,1,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
2,Andrew Makalio,0,11,4,0,0,0,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
3,Oliver Jager,0,7,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
4,Scott Barrett,0,9,6,0,0,2,0,0,0,0,5,1,1,0,0,0,0,3,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
5,Mitchell Dunshea,0,17,7,3,0,2,2,0,0,0,5,1,0,0,0,0,0,3,0,2,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
6,Tom Sanders,0,11,5,0,0,2,1,1,0,0,8,2,0,0,0,0,0,1,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
7,Tom Christie,0,3,2,0,0,2,0,0,0,0,16,1,0,0,0,0,0,0,0,1,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
8,Whetukamokamo Douglas,0,7,6,0,0,7,1,3,0,0,11,1,1,0,0,0,0,3,1,1,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
9,Mitchell Drummond,0,5,2,0,0,43,2,1,2,0,5,0,0,5,0,0,0,0,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
10,Richie Mo'unga,0,0,0,0,0,11,0,0,1,0,4,2,0,6,0,0,0,0,0,1,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
11,Leicester Fainga'anuku,1,78,9,4,1,2,2,1,0,5,6,3,3,0,0,0,0,0,0,2,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
12,Jack Goodhue,0,14,3,2,0,1,1,0,0,0,8,1,0,3,0,0,0,0,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
13,Braydon Ennor,2,44,7,3,1,3,3,1,0,10,10,2,1,2,0,0,0,0,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
14,Will Jordan,2,61,13,3,3,8,2,3,0,10,9,2,1,4,0,0,0,0,0,1,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
15,David Havili,0,64,12,11,3,5,2,1,0,13,4,2,1,2,5,1,0,0,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
16,Codie Taylor,0,8,4,1,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
17,Isileli Tu'ungafasi,0,4,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
18,Michael Alaalatoa,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
19,Luke Romano,1,17,8,0,0,2,0,1,0,5,5,0,1,0,0,0,0,1,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
20,Cullen Grace,0,5,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
21,Bryn Hall,0,0,2,0,0,30,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
22,Brett Cameron,0,10,4,2,1,11,2,3,0,0,2,1,0,4,0,0,0,0,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
23,Sevu Reece,0,10,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRU,Home,crusaders-waratahs-trafalgar-park-01022020
1,Tom Robertson,0,2,2,0,0,1,0,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
2,Robbie Abel,0,1,1,0,0,4,0,1,0,0,10,1,4,0,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
3,Tetera Faulkner,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
4,Thomas Staniforth,0,6,6,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
5,Rob Simmons,0,6,5,0,0,0,0,0,0,0,6,1,0,0,0,0,0,7,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
6,Lachlan Swinton,0,8,7,0,0,4,1,3,0,0,12,1,1,0,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
7,Michael Hooper,0,16,10,0,0,1,0,0,0,0,18,4,3,0,0,0,0,2,0,1,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
8,Jed Holloway,0,7,4,0,0,3,0,0,0,0,17,3,1,0,0,0,0,2,1,1,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
9,Jake Gordon,0,12,4,0,0,65,2,3,1,0,8,3,1,7,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
10,Will Harrison,0,13,5,1,1,18,0,1,0,10,4,2,0,6,2,2,0,0,0,1,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
11,Alex Newsome,1,28,4,1,1,5,1,1,0,5,8,2,0,1,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
12,Karmichael Hunt,0,14,7,0,0,4,2,3,0,0,10,3,0,3,0,0,0,0,0,1,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
13,Lalakai Foketi,0,26,9,2,1,2,0,4,0,0,5,3,0,1,0,0,0,0,0,2,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
14,Mark Nawaqanitawase,2,84,11,5,2,0,0,1,0,10,14,4,1,2,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
15,Kurtley Beale,0,77,13,5,3,9,1,2,1,0,5,1,1,4,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
16,Damien Fitzpatrick,0,2,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
17,Angus Bell,0,6,2,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
18,Chris Talakai,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
19,Ryan McCauley,0,1,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
20,Jack Dempsey,0,3,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
21,Carlo Tizzano,0,6,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
22,Mitch Short,0,2,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
23,Jack Maddocks,0,4,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,WAR,Away,crusaders-waratahs-trafalgar-park-01022020
1,Steven Kitshoff,1,22,8,1,1,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
2,Bongi Mbonambi,0,9,5,0,0,0,0,2,0,0,6,0,2,0,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
3,Frans Malherbe,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
4,Salmaan Moerat,0,1,2,0,0,0,0,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
5,Chris Van Zyl,0,3,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,1,0,0,STO,Home,stormers-hurricanes-newlands-01022020
6,Jaco Coetzee,0,38,12,3,2,1,1,0,0,0,4,1,2,0,0,0,0,0,1,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
7,Pieter-Steph Du Toit,0,18,8,2,1,2,1,1,0,0,10,0,1,0,0,0,0,3,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
8,Siya Kolisi,0,8,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
9,Herschel Jantjies,1,33,5,4,3,54,0,2,0,5,4,0,2,7,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
10,Damian Willemse,1,116,12,8,4,10,0,2,0,12,1,0,3,6,2,1,0,0,1,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
11,Seabelo Senatla,0,24,5,0,0,4,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
12,Jamie Roberts,0,26,7,3,1,4,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
13,Ruhan Nel,0,24,5,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,STO,Home,stormers-hurricanes-newlands-01022020
14,Sergeal Petersen,1,17,6,1,2,1,0,1,0,5,1,2,0,3,0,0,0,0,0,2,0,0,STO,Home,stormers-hurricanes-newlands-01022020
15,Dillyn Leyds,0,22,6,1,2,13,0,1,0,0,3,1,0,3,0,0,0,0,0,1,0,0,STO,Home,stormers-hurricanes-newlands-01022020
16,Scarra Ntubeni,0,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
17,Ali Vermaak,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
18,Wilco Louw,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
19,David Meihuizen,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,STO,Home,stormers-hurricanes-newlands-01022020
20,Ernst Van Rhyn,0,3,4,0,0,0,0,2,0,0,5,1,0,0,0,0,0,1,0,1,0,0,STO,Home,stormers-hurricanes-newlands-01022020
21,Johan Du Toit,0,9,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
22,Godlen Masimla,0,0,1,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
23,Rikus Pretorius,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STO,Home,stormers-hurricanes-newlands-01022020
1,Fraser Armstrong,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
2,Ricky Riccitelli,0,1,4,0,0,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
3,Tyrel Lomax,0,2,3,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,2,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
4,James Blackwell,0,1,3,0,0,1,1,2,0,0,6,5,0,0,0,0,0,4,0,1,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
5,Scott Scrafton,0,3,4,1,0,2,0,0,0,0,6,1,0,0,0,0,0,2,0,0,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
6,Reed Prinsep,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
7,Du'Plessis Kirifi,0,3,2,2,0,2,0,2,0,0,18,4,0,0,0,0,0,0,0,1,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
8,Gareth Evans,0,22,7,2,2,3,1,0,0,0,10,1,2,0,0,0,0,3,1,1,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
9,TJ Perenara,0,2,2,0,0,38,0,0,0,0,8,1,0,4,0,0,0,0,0,0,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
10,Fletcher Smith,0,4,4,2,0,11,1,5,0,0,5,2,1,1,0,0,0,0,0,1,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
11,Ben Lam,0,8,2,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
12,Ngani Laumape,0,2,3,1,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
13,Billy Proctor,0,3,3,1,1,1,0,0,0,0,8,1,0,2,0,0,0,0,0,0,0,1,HUR,Away,stormers-hurricanes-newlands-01022020
14,Wes Goosen,0,9,5,1,0,0,0,2,0,0,10,1,0,0,0,0,0,0,0,0,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
15,Jordie Barrett,0,11,6,1,0,1,1,0,0,0,6,1,0,8,0,0,0,0,0,0,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
16,Asafo Aumua,0,2,2,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
17,Pouri Rakete-Stones,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
18,Tevita Mafileo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
19,Vaea Fifita,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,HUR,Away,stormers-hurricanes-newlands-01022020
20,Devan Flanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
21,Jamie Booth,0,25,1,0,1,10,0,3,0,0,8,0,4,3,0,0,0,0,0,1,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
22,Jackson Garden-Bachop,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HUR,Away,stormers-hurricanes-newlands-01022020
1,Mayco Vivas,0,11,4,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
2,Julian Montoya,0,13,5,0,0,4,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
3,Santiago Medrano,0,2,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
4,Guido Petti Pagadizaval,0,19,8,1,1,3,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
5,Lucas Paulos,0,12,6,1,0,3,1,0,0,0,12,2,1,0,0,0,0,3,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
6,Francisco Gorrisen,0,16,7,0,0,5,2,0,0,0,9,0,1,0,0,0,0,1,1,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
7,Marcos Kremer,0,32,13,1,0,1,0,1,0,0,19,3,0,0,0,0,0,0,0,2,0,1,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
8,Tomas Lezana,0,12,3,0,0,3,1,0,0,0,11,1,1,1,0,0,0,0,0,2,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
9,Tomas Cubelli,0,11,5,1,1,72,1,0,1,0,7,2,1,5,0,0,0,0,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
10,Joaquin Diaz Bonilla,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
11,Emiliano Boffelli,0,41,9,8,3,9,4,3,1,0,8,0,0,1,0,0,0,0,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
12,Juan Cruz Mallia,0,35,12,3,2,9,1,3,0,0,10,0,0,0,0,0,0,0,0,2,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
13,Matias Moroni,2,31,5,8,1,5,2,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
14,Bautista Delguy,0,12,9,0,2,3,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
15,Santiago Carreras,0,38,12,7,1,8,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
16,Agustin Creevy,1,17,5,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
17,Nahuel Tetaz Chaparro,0,5,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
18,Joel Sclavi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
19,Javier Ortega Desio,1,3,1,0,0,2,1,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
20,Rodrigo Bruni,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
21,Felipe Ezcurra,0,0,0,0,0,14,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
22,Domingo Miotti,1,20,7,2,0,28,0,1,0,18,6,2,0,16,5,1,0,0,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
23,Matias Orlando,0,6,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAG,Home,jaguares-lions-estadio-jose-amalfitani-02022020
1,Dylan Smith,0,5,4,1,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
2,Pieter Jansen,0,3,3,0,0,0,0,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
3,Jannie Du Plessis,0,2,3,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
4,Ruben Schoeman,0,12,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
5,Marvin Orie,0,6,5,1,0,0,0,2,0,0,12,3,0,0,0,0,0,3,0,1,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
6,Marnus Schoeman,0,13,7,2,1,5,0,1,0,0,17,2,4,0,0,0,0,0,1,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
7,Vincent Tshituka,0,18,10,1,0,2,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
8,Len Massyn,0,41,3,1,1,2,2,1,1,0,13,2,0,0,0,0,0,6,0,2,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
9,Andre Warner,1,5,2,0,0,54,1,0,0,5,5,1,1,7,0,0,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
10,Elton Jantjies,0,5,7,1,0,20,0,2,0,3,0,3,0,8,0,1,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
11,Courtnall Skosan,0,5,3,1,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
12,Dan Kriel,0,18,12,0,0,3,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
13,Duncan Matthews,0,13,7,1,0,9,2,2,0,0,8,2,0,1,0,0,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
14,Tyrone Green,0,13,5,0,1,2,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
15,Tiaan Swanepoel,0,6,6,0,0,3,0,2,0,0,6,2,0,4,0,0,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
16,Jan-Henning Campher,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
17,Sti Sithole,0,2,1,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
18,Carlu Sadie,0,11,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
19,Wilhelm Van Der Sluys,0,3,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
20,Hacjivah Dayimani,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
21,Morne Van Den Berg,0,9,1,2,0,33,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
22,Manuel Rass,0,6,2,1,0,2,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
23,Ruan Vermaak,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,LIO,Away,jaguares-lions-estadio-jose-amalfitani-02022020
